T	1937123.000000
L	1C Enterprise	-5.898527
L	ABAP	-7.690286
L	ABNF	-7.690286
L	AGS Script	-6.303992
L	AMPL	-6.997139
L	API Blueprint	-6.591674
L	APL	-6.591674
L	ASN.1	-7.690286
L	ATS	-5.493061
L	ActionScript	-6.997139
L	Adobe Font Metrics	-6.591674
L	Agda	-7.690286
L	Alloy	-6.591674
L	Alpine Abuild	-7.690286
L	Altium Designer	-6.303992
L	AngelScript	-6.997139
L	Ant Build System	-7.690286
L	ApacheConf	-6.303992
L	Apex	-5.898527
L	Apollo Guidance Computer	-7.690286
L	AppleScript	-5.744376
L	AsciiDoc	-6.591674
L	AspectJ	-6.997139
L	Assembly	-5.898527
L	Asymptote	-6.997139
L	AutoHotkey	-7.690286
L	Awk	-7.690286
L	Ballerina	-6.080848
L	BitBake	-6.997139
L	Blade	-6.997139
L	BlitzBasic	-6.591674
L	BlitzMax	-7.690286
L	Bluespec	-6.997139
L	Brainfuck	-6.080848
L	Brightscript	-7.690286
L	C	-3.647235
L	C#	-6.080848
L	C++	-3.778263
L	CLIPS	-6.997139
L	CMake	-5.744376
L	COBOL	-6.303992
L	CSON	-6.303992
L	CSS	-6.997139
L	CSV	-7.690286
L	CWeb	-7.690286
L	Cabal Config	-6.303992
L	CartoCSS	-7.690286
L	Ceylon	-7.690286
L	Chapel	-6.080848
L	Charity	-7.690286
L	Cirru	-5.493061
L	Clarion	-6.303992
L	Clean	-5.493061
L	Click	-6.997139
L	Clojure	-5.493061
L	Closure Templates	-7.690286
L	Cloud Firestore Security Rules	-7.690286
L	CoNLL-U	-6.591674
L	CoffeeScript	-5.387701
L	ColdFusion	-7.690286
L	ColdFusion CFC	-6.997139
L	Common Lisp	-5.493061
L	Common Workflow Language	-7.690286
L	Component Pascal	-6.997139
L	Cool	-6.997139
L	Coq	-5.125337
L	Creole	-7.690286
L	Crystal	-6.591674
L	Csound	-6.591674
L	Csound Document	-6.591674
L	Csound Score	-6.591674
L	Cuda	-6.997139
L	Cycript	-7.690286
L	D	-5.493061
L	DIGITAL Command Language	-6.303992
L	DM	-7.690286
L	DNS Zone	-6.997139
L	DTrace	-6.591674
L	Dart	-7.690286
L	DataWeave	-6.080848
L	Dhall	-6.997139
L	Diff	-7.690286
L	Dockerfile	-7.690286
L	Dogescript	-7.690286
L	E	-5.744376
L	EBNF	-6.303992
L	ECL	-7.690286
L	ECLiPSe	-7.690286
L	EJS	-6.997139
L	EML	-7.690286
L	EQ	-6.591674
L	Eagle	-6.997139
L	Easybuild	-7.690286
L	EditorConfig	-7.690286
L	Edje Data Collection	-7.690286
L	Eiffel	-6.591674
L	Elixir	-7.690286
L	Elm	-6.591674
L	Emacs Lisp	-5.292391
L	EmberScript	-7.690286
L	Erlang	-5.051229
L	F#	-5.610844
L	FIGlet Font	-7.690286
L	FLUX	-6.303992
L	Fantom	-6.997139
L	Filebench WML	-7.690286
L	Filterscript	-6.997139
L	Formatted	-6.591674
L	Forth	-4.917697
L	Fortran	-6.080848
L	FreeMarker	-6.997139
L	Frege	-6.303992
L	Fstar	-6.997139
L	G-code	-6.591674
L	GAMS	-7.690286
L	GAP	-5.493061
L	GCC Machine Description	-7.690286
L	GDB	-6.997139
L	GDScript	-6.303992
L	GLSL	-5.051229
L	GN	-5.292391
L	Game Maker Language	-5.292391
L	Genie	-6.997139
L	Gerber Image	-4.857073
L	Git Attributes	-7.690286
L	Git Config	-6.591674
L	Glyph Bitmap Distribution Format	-7.690286
L	Gnuplot	-5.898527
L	Go	-6.591674
L	Golo	-4.394449
L	Gosu	-6.080848
L	Grace	-6.997139
L	Gradle	-6.997139
L	Grammatical Framework	-3.976714
L	Graph Modeling Language	-6.591674
L	GraphQL	-6.303992
L	Graphviz (DOT)	-6.997139
L	Groovy	-5.898527
L	Groovy Server Pages	-6.303992
L	HAProxy	-6.303992
L	HCL	-6.080848
L	HLSL	-6.080848
L	HTML	-5.744376
L	HTML+Django	-6.997139
L	HTML+ECR	-7.690286
L	HTML+EEX	-7.690286
L	HTML+ERB	-6.997139
L	HTML+Razor	-6.997139
L	HXML	-6.997139
L	Hack	-4.358082
L	Haml	-6.997139
L	Handlebars	-6.997139
L	Haskell	-6.080848
L	HiveQL	-7.690286
L	HolyC	-6.080848
L	Hy	-6.591674
L	HyPhy	-5.610844
L	IDL	-6.303992
L	IGOR Pro	-6.997139
L	INI	-5.744376
L	Idris	-7.690286
L	Ignore List	-4.917697
L	Inform 7	-6.997139
L	Inno Setup	-7.690286
L	Ioke	-7.690286
L	Isabelle	-7.690286
L	Isabelle ROOT	-7.690286
L	J	-6.997139
L	JFlex	-6.997139
L	JSON	-4.512232
L	JSON with Comments	-4.694554
L	JSON5	-6.997139
L	JSONLD	-7.690286
L	JSONiq	-6.997139
L	JSX	-7.690286
L	Jasmin	-5.610844
L	Java	-5.493061
L	Java Properties	-6.997139
L	JavaScript	-4.026724
L	JavaScript+ERB	-7.690286
L	Jison	-6.591674
L	Jison Lex	-6.997139
L	Jolie	-6.080848
L	Jsonnet	-7.690286
L	Julia	-6.997139
L	Jupyter Notebook	-7.690286
L	KRL	-7.690286
L	KiCad Layout	-4.917697
L	KiCad Legacy Layout	-7.690286
L	KiCad Schematic	-5.898527
L	Kit	-7.690286
L	Kotlin	-7.690286
L	LFE	-6.303992
L	LOLCODE	-7.690286
L	LSL	-6.997139
L	LTspice Symbol	-7.690286
L	Lasso	-6.303992
L	Latte	-6.997139
L	Lean	-6.997139
L	Less	-7.690286
L	Lex	-7.690286
L	Limbo	-6.591674
L	Linker Script	-6.303992
L	Linux Kernel Module	-6.591674
L	Liquid	-6.997139
L	Literate Agda	-7.690286
L	Literate CoffeeScript	-7.690286
L	LiveScript	-7.690286
L	Logos	-6.080848
L	Logtalk	-7.690286
L	LookML	-6.591674
L	LoomScript	-6.997139
L	Lua	-6.080848
L	M	-4.322990
L	M4	-7.690286
L	M4Sugar	-6.591674
L	MATLAB	-4.026724
L	MAXScript	-6.080848
L	MQL4	-6.591674
L	MQL5	-6.591674
L	MTML	-7.690286
L	MUF	-6.997139
L	Makefile	-5.205379
L	Markdown	-5.493061
L	Marko	-6.591674
L	Mask	-7.690286
L	Mathematica	-5.205379
L	Maven POM	-7.690286
L	Max	-6.591674
L	MediaWiki	-6.997139
L	Mercury	-5.387701
L	Meson	-6.997139
L	Metal	-7.690286
L	Modelica	-5.205379
L	Modula-2	-7.690286
L	Modula-3	-6.080848
L	Module Management System	-6.080848
L	Monkey	-6.080848
L	Moocode	-6.591674
L	MoonScript	-7.690286
L	Motorola 68K Assembly	-7.690286
L	NCL	-4.917697
L	NL	-6.997139
L	NSIS	-6.997139
L	Nearley	-7.690286
L	Nemerle	-7.690286
L	NetLinx	-6.997139
L	NetLinx+ERB	-6.997139
L	NetLogo	-7.690286
L	NewLisp	-6.591674
L	Nextflow	-6.303992
L	Nginx	-6.997139
L	Nim	-6.080848
L	Nit	-4.512232
L	Nix	-7.690286
L	Nu	-6.997139
L	OCaml	-5.387701
L	ObjectScript	-7.690286
L	Objective-C	-4.599244
L	Objective-C++	-6.997139
L	Objective-J	-6.591674
L	Omgrofl	-7.690286
L	Opa	-6.997139
L	Opal	-7.690286
L	OpenCL	-6.997139
L	OpenEdge ABL	-5.898527
L	OpenRC runscript	-7.690286
L	OpenSCAD	-6.997139
L	Org	-7.690286
L	Ox	-6.591674
L	Oxygene	-7.690286
L	Oz	-7.690286
L	P4	-6.997139
L	PHP	-4.799914
L	PLSQL	-5.610844
L	PLpgSQL	-5.744376
L	POV-Ray SDL	-5.205379
L	Pan	-4.799914
L	Papyrus	-6.591674
L	Parrot Assembly	-7.690286
L	Parrot Internal Representation	-7.690286
L	Pascal	-5.387701
L	Pawn	-5.898527
L	Pep8	-5.744376
L	Perl	-4.512232
L	Perl 6	-4.599244
L	Pic	-6.591674
L	Pickle	-6.303992
L	PicoLisp	-7.690286
L	PigLatin	-7.690286
L	Pike	-6.591674
L	Pod	-6.303992
L	Pod 6	-7.690286
L	PogoScript	-7.690286
L	Pony	-5.898527
L	PostCSS	-7.690286
L	PostScript	-6.997139
L	PowerBuilder	-5.898527
L	PowerShell	-6.303992
L	Processing	-7.690286
L	Prolog	-5.493061
L	Propeller Spin	-5.387701
L	Protocol Buffer	-7.690286
L	Public Key	-5.744376
L	Pug	-6.997139
L	Puppet	-6.080848
L	PureBasic	-6.997139
L	PureScript	-6.303992
L	Python	-4.512232
L	QML	-7.690286
L	QMake	-6.303992
L	Quake	-6.997139
L	R	-5.610844
L	RAML	-7.690286
L	RDoc	-7.690286
L	REXX	-6.303992
L	RMarkdown	-7.690286
L	RPC	-6.591674
L	RPM Spec	-6.591674
L	RUNOFF	-6.303992
L	Racket	-6.997139
L	Ragel	-6.591674
L	Rascal	-6.303992
L	Reason	-6.080848
L	Rebol	-5.898527
L	Red	-6.997139
L	Regular Expression	-6.303992
L	Ren'Py	-7.690286
L	RenderScript	-6.997139
L	Rich Text Format	-6.997139
L	Ring	-6.303992
L	RobotFramework	-6.591674
L	Roff	-4.394449
L	Roff Manpage	-4.645764
L	Ruby	-4.224550
L	Rust	-6.591674
L	SAS	-6.591674
L	SCSS	-7.690286
L	SMT	-6.303992
L	SPARQL	-6.997139
L	SQF	-6.997139
L	SQL	-5.205379
L	SQLPL	-5.898527
L	SRecode Template	-7.690286
L	SSH Config	-5.898527
L	STON	-5.744376
L	Sage	-7.690286
L	SaltStack	-5.898527
L	Sass	-7.690286
L	Scala	-5.744376
L	Scaml	-7.690286
L	Scheme	-6.303992
L	Scilab	-6.591674
L	ShaderLab	-6.591674
L	Shell	-3.883624
L	ShellSession	-6.591674
L	Shen	-6.591674
L	Slash	-7.690286
L	Slice	-6.591674
L	Slim	-7.690286
L	Smali	-5.744376
L	Smalltalk	-5.387701
L	SourcePawn	-6.997139
L	Squirrel	-7.690286
L	Stan	-6.591674
L	Standard ML	-6.080848
L	Stata	-5.744376
L	Stylus	-7.690286
L	SubRip Text	-7.690286
L	SugarSS	-7.690286
L	SuperCollider	-6.080848
L	Svelte	-7.690286
L	Swift	-3.929086
L	SystemVerilog	-6.303992
L	TI Program	-6.303992
L	TLA	-6.997139
L	TOML	-6.997139
L	TSQL	-6.303992
L	TSX	-6.303992
L	TXL	-7.690286
L	Tcl	-6.303992
L	TeX	-5.744376
L	Tea	-7.690286
L	Terra	-6.591674
L	Text	-4.645764
L	Thrift	-7.690286
L	Turing	-6.997139
L	Turtle	-6.997139
L	Type Language	-6.997139
L	TypeScript	-6.591674
L	Unity3D Asset	-6.080848
L	Unix Assembly	-6.997139
L	Uno	-6.591674
L	UnrealScript	-6.997139
L	UrWeb	-6.997139
L	VCL	-6.997139
L	VHDL	-7.690286
L	Verilog	-5.125337
L	Vim script	-5.744376
L	Visual Basic	-6.080848
L	Volt	-7.690286
L	Vue	-6.997139
L	Wavefront Material	-6.303992
L	Wavefront Object	-6.080848
L	Web Ontology Language	-7.690286
L	WebAssembly	-5.898527
L	WebIDL	-6.997139
L	WebVTT	-6.997139
L	Windows Registry Entries	-7.690286
L	Wollok	-6.997139
L	World of Warcraft Addon Data	-6.591674
L	X BitMap	-7.690286
L	X Font Directory Index	-6.303992
L	X PixMap	-6.997139
L	X10	-4.799914
L	XC	-7.690286
L	XCompose	-7.690286
L	XML	-3.531403
L	XPages	-6.997139
L	XProc	-7.690286
L	XQuery	-7.690286
L	XS	-7.690286
L	XSLT	-7.690286
L	Xojo	-5.898527
L	Xtend	-6.997139
L	YAML	-5.387701
L	YANG	-7.690286
L	YARA	-6.591674
L	YASnippet	-6.997139
L	Yacc	-7.690286
L	ZAP	-7.690286
L	ZIL	-7.690286
L	Zeek	-6.591674
L	ZenScript	-7.690286
L	Zephir	-6.997139
L	Zig	-6.591674
L	Zimpl	-7.690286
L	desktop	-7.690286
L	eC	-7.690286
L	edn	-7.690286
L	fish	-6.591674
L	mcfunction	-7.690286
L	nanorc	-6.591674
L	q	-6.997139
L	reStructuredText	-7.690286
L	sed	-7.690286
L	wdl	-6.591674
L	wisp	-7.690286
L	xBase	-6.591674
K	1C Enterprise	#	-8.978471
K	1C Enterprise	&	-6.675886
K	1C Enterprise	(	-4.065816
K	1C Enterprise	)	-4.065816
K	1C Enterprise	*	-9.671619
K	1C Enterprise	+	-6.205883
K	1C Enterprise	,	-5.086651
K	1C Enterprise	-	-8.978471
K	1C Enterprise	.	-3.957886
K	1C Enterprise	/	-9.671619
K	1C Enterprise	//	-8.573006
K	1C Enterprise	//////////////////////////////////////////////////////////////////////////////	-8.978471
K	1C Enterprise	;	-3.878605
K	1C Enterprise	<	-6.781247
K	1C Enterprise	=	-4.478662
K	1C Enterprise	>	-6.727180
K	1C Enterprise	?	-8.978471
K	1C Enterprise	DOM	-8.978471
K	1C Enterprise	DOM.	-9.671619
K	1C Enterprise	HTML	-8.978471
K	1C Enterprise	HTML.	-8.978471
K	1C Enterprise	Null	-9.671619
K	1C Enterprise	XML	-7.273723
K	1C Enterprise	XML.	-7.725708
K	1C Enterprise	_	-7.474394
K	1C Enterprise	А	-8.285324
K	1C Enterprise	Б	-8.062181
K	1C Enterprise	В	-4.701805
K	1C Enterprise	Г	-8.285324
K	1C Enterprise	Д	-4.722859
K	1C Enterprise	Е	-5.107270
K	1C Enterprise	Ж	-9.671619
K	1C Enterprise	З	-4.584022
K	1C Enterprise	И	-5.289592
K	1C Enterprise	К	-4.310326
K	1C Enterprise	Л	-6.237631
K	1C Enterprise	М	-6.270421
K	1C Enterprise	Н	-4.590214
K	1C Enterprise	О	-4.641181
K	1C Enterprise	П	-4.001738
K	1C Enterprise	Р	-5.842977
K	1C Enterprise	С	-4.435177
K	1C Enterprise	Т	-4.403760
K	1C Enterprise	У	-6.060701
K	1C Enterprise	Ф	-5.982739
K	1C Enterprise	Х	-8.978471
K	1C Enterprise	Ц	-5.611176
K	1C Enterprise	Ч	-6.580576
K	1C Enterprise	Ш	-6.627096
K	1C Enterprise	Э	-5.821471
K	1C Enterprise	а	-2.506125
K	1C Enterprise	б	-4.291721
K	1C Enterprise	в	-3.860478
K	1C Enterprise	г	-4.804084
K	1C Enterprise	д	-4.036829
K	1C Enterprise	е	-2.541520
K	1C Enterprise	ж	-5.139019
K	1C Enterprise	з	-4.827431
K	1C Enterprise	и	-2.859273
K	1C Enterprise	й	-4.688012
K	1C Enterprise	к	-3.479256
K	1C Enterprise	л	-3.214849
K	1C Enterprise	м	-4.073197
K	1C Enterprise	н	-2.957448
K	1C Enterprise	о	-2.573243
K	1C Enterprise	п	-4.273456
K	1C Enterprise	р	-3.199272
K	1C Enterprise	с	-3.569060
